ISO3,National Unit,Name,Admin Level,Metric,Units,Year,Value
"COD","Democratic Republic of the Congo","Mongala","admin1","Incidence Rate","Cases per Thousand",2016,265.805622738132
"COD","Democratic Republic of the Congo","Mongala","admin1","Mortality Rate","Deaths per 100 Thousand",2016,149.8825
"COD","Democratic Republic of the Congo","Nord-Ubangi","admin1","Incidence Rate","Cases per Thousand",2016,398.892385899881
"COD","Democratic Republic of the Congo","Nord-Ubangi","admin1","Mortality Rate","Deaths per 100 Thousand",2016,91.531
"COD","Democratic Republic of the Congo","Sud-Ubangi","admin1","Incidence Rate","Cases per Thousand",2016,317.595418672072
"COD","Democratic Republic of the Congo","Sud-Ubangi","admin1","Mortality Rate","Deaths per 100 Thousand",2016,123.55149999999999
"COD","Democratic Republic of the Congo","Tshuapa","admin1","Incidence Rate","Cases per Thousand",2016,351.819236020084
"COD","Democratic Republic of the Congo","Tshuapa","admin1","Mortality Rate","Deaths per 100 Thousand",2016,152.4787
"COD","Democratic Republic of the Congo","Kwango","admin1","Incidence Rate","Cases per Thousand",2016,291.155455178941
"COD","Democratic Republic of the Congo","Kwango","admin1","Mortality Rate","Deaths per 100 Thousand",2016,64.4859
"COD","Democratic Republic of the Congo","Kwilu","admin1","Incidence Rate","Cases per Thousand",2016,292.013252852966
"COD","Democratic Republic of the Congo","Kwilu","admin1","Mortality Rate","Deaths per 100 Thousand",2016,98.1879
"COD","Democratic Republic of the Congo","Mai-Ndombe","admin1","Incidence Rate","Cases per Thousand",2016,306.35816838976797
"COD","Democratic Republic of the Congo","Mai-Ndombe","admin1","Mortality Rate","Deaths per 100 Thousand",2016,89.6431
"COD","Democratic Republic of the Congo","Kasai","admin1","Incidence Rate","Cases per Thousand",2016,252.168887145515
"COD","Democratic Republic of the Congo","Kasai","admin1","Mortality Rate","Deaths per 100 Thousand",2016,100.0304
"COD","Democratic Republic of the Congo","Sankuru","admin1","Incidence Rate","Cases per Thousand",2016,296.128720886542
"COD","Democratic Republic of the Congo","Sankuru","admin1","Mortality Rate","Deaths per 100 Thousand",2016,82.5762
"COD","Democratic Republic of the Congo","Haut-Lomami","admin1","Incidence Rate","Cases per Thousand",2016,333.415287667266
"COD","Democratic Republic of the Congo","Haut-Lomami","admin1","Mortality Rate","Deaths per 100 Thousand",2016,61.4456
"COD","Democratic Republic of the Congo","Lualaba","admin1","Incidence Rate","Cases per Thousand",2016,406.417408707239
"COD","Democratic Republic of the Congo","Lualaba","admin1","Mortality Rate","Deaths per 100 Thousand",2016,49.60080000000001
"COD","Democratic Republic of the Congo","Tanganyka","admin1","Incidence Rate","Cases per Thousand",2016,397.927605598859
"COD","Democratic Republic of the Congo","Tanganyka","admin1","Mortality Rate","Deaths per 100 Thousand",2016,69.78750000000001
"COD","Democratic Republic of the Congo","Maniema","admin1","Incidence Rate","Cases per Thousand",2016,361.119797808542
"COD","Democratic Republic of the Congo","Maniema","admin1","Mortality Rate","Deaths per 100 Thousand",2016,111.03190000000001
"COD","Democratic Republic of the Congo","Nord-Kivu","admin1","Incidence Rate","Cases per Thousand",2016,173.379027039367
"COD","Democratic Republic of the Congo","Nord-Kivu","admin1","Mortality Rate","Deaths per 100 Thousand",2016,77.724
"COD","Democratic Republic of the Congo","Sud-Kivu","admin1","Incidence Rate","Cases per Thousand",2016,179.926805188412
"COD","Democratic Republic of the Congo","Sud-Kivu","admin1","Mortality Rate","Deaths per 100 Thousand",2016,62.74400000000001
"COD","Democratic Republic of the Congo","Bas-Uele","admin1","Incidence Rate","Cases per Thousand",2016,432.897046619618
"COD","Democratic Republic of the Congo","Bas-Uele","admin1","Mortality Rate","Deaths per 100 Thousand",2016,136.066
"COD","Democratic Republic of the Congo","Haut-Uele","admin1","Incidence Rate","Cases per Thousand",2016,421.32822591772504
"COD","Democratic Republic of the Congo","Haut-Uele","admin1","Mortality Rate","Deaths per 100 Thousand",2016,118.1613
"COD","Democratic Republic of the Congo","Ituri","admin1","Incidence Rate","Cases per Thousand",2016,407.577633334129
"COD","Democratic Republic of the Congo","Ituri","admin1","Mortality Rate","Deaths per 100 Thousand",2016,144.803
"COD","Democratic Republic of the Congo","Tshopo","admin1","Incidence Rate","Cases per Thousand",2016,418.80878793467
"COD","Democratic Republic of the Congo","Tshopo","admin1","Mortality Rate","Deaths per 100 Thousand",2016,144.822
"MDG","Madagascar","Analamanga","admin1","Incidence Rate","Cases per Thousand",2016,69.2540903342786
"MDG","Madagascar","Analamanga","admin1","Mortality Rate","Deaths per 100 Thousand",2016,2.1100000000000003
"MDG","Madagascar","Bongolava","admin1","Incidence Rate","Cases per Thousand",2016,66.3550528057144
"MDG","Madagascar","Bongolava","admin1","Mortality Rate","Deaths per 100 Thousand",2016,8.59
"MDG","Madagascar","Itasy","admin1","Incidence Rate","Cases per Thousand",2016,62.3271816363802
"MDG","Madagascar","Itasy","admin1","Mortality Rate","Deaths per 100 Thousand",2016,4.41
"MDG","Madagascar","Vakinankaratra","admin1","Incidence Rate","Cases per Thousand",2016,42.5565330862046
"MDG","Madagascar","Vakinankaratra","admin1","Mortality Rate","Deaths per 100 Thousand",2016,5.62
"MDG","Madagascar","Diana","admin1","Incidence Rate","Cases per Thousand",2016,54.5318381340513
"MDG","Madagascar","Diana","admin1","Mortality Rate","Deaths per 100 Thousand",2016,22.8476
